commit_hash,author,date,message,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
c51a84a6eedb296f0ba0462e280fb558729a70e3,Varniex,2024-12-11 00:10:06,Fixing a Cairo Bug (Windows OS),62,1,0,0,5,58,"330,20,502,22,78,703"
6b3801107842ceb5be2f51863baa5c1a131baf2f,Grant Sanderson,2024-12-11 00:04:18,Refactor config.py,62,1,0,0,5,58,"330,20,502,22,78,703"
858d8c122b04d6936cf57ee156ac88987a0ae1dd,Grant Sanderson,2024-12-10 23:13:48,"Rename ""file_writer_config"" in default_config to simply ""file_writer""",62,1,0,0,5,58,"330,20,502,22,78,703"
4b483b75ce65f4d2ff8badc3c50d0349a80e375c,Grant Sanderson,2024-12-10 23:09:23,Minor tweak,62,1,0,0,5,58,"330,20,502,22,78,703"
4cc2e5ed177329a76add74df285ff2a1cac19ef0,Grant Sanderson,2024-12-10 23:09:13,Consolidate camera configuration,62,1,0,0,5,58,"330,20,502,22,78,703"
d4c5c4736a84e82e15cf5c55468562716eba1624,Grant Sanderson,2024-12-10 22:37:54,Move logic for window size and position into Window class,63,1,0,0,6,58,"330,20,502,22,78,703"
178cca0ca50d0ea9948f38fc7d45a5d744c6811d,Grant Sanderson,2024-12-10 22:05:31,Factor out get_window_position,62,1,0,0,5,58,"330,20,502,22,78,703"
c02259a39e62e1e0fd6d50ea00a1e9de31afc54d,Grant Sanderson,2024-12-10 22:05:21,Remove import,62,1,0,0,5,58,"330,20,502,22,78,703"
1276724891853df17d10c52431fa8591433df25d,Grant Sanderson,2024-12-10 21:44:59,Pull out the initial Window.to_default_position from init_for_scene,62,1,0,0,5,58,"330,20,502,22,78,703"
9e77b0dcdd89fbec7b8761640e6555d74db588a4,Grant Sanderson,2024-12-10 21:40:58,Consolidate window configuration,62,1,0,0,5,58,"330,20,502,22,78,703"
950ac31b9b2a340ab32c039c05d07e318598d485,Grant Sanderson,2024-12-10 04:27:55,Replace IGNORE_MANIMLIB_MODULES constant with a piece of global configuration,62,1,0,0,5,58,"330,20,502,22,78,703"
8706ba1589a7a42968d668ff6fedd6b10c8204cd,Grant Sanderson,2024-12-10 04:16:13,No real need to track ReloadManager.scenes,62,1,0,0,5,58,"330,20,502,22,78,703"
dd508b8cfc5452245f117d18b483be770b423823,Grant Sanderson,2024-12-10 04:13:08,No need to track ReloadManager.start_at_line,62,1,0,0,5,58,"330,20,502,22,78,703"
88bae476ce3dc9d4cb8ca4349ace922d7a873311,Grant Sanderson,2024-12-10 03:55:18,Don't print filename that is being reloaded,62,1,0,0,5,58,"330,20,502,22,78,703"
7a69807ce63cca75e3deb8bb19ed385f759a7de9,Grant Sanderson,2024-12-10 03:54:50,Remove mobject.save_to_file,62,1,0,0,5,58,"330,20,502,22,78,703"
6d0b23f914869851e734c89aec0969eff3bc2dd1,Grant Sanderson,2024-12-10 03:44:27,Slightly simplify ReloadManager,64,1,0,0,6,59,"330,20,502,22,78,703"
bf81d94362691a37052107fd65a8de30026d668e,Grant Sanderson,2024-12-10 03:24:16,Don't make reload_manager a global variable,64,1,0,0,6,59,"330,20,502,22,78,703"
5b315d5c7041d86bf01d4aeb151fc2f9fb97662c,Grant Sanderson,2024-12-10 01:32:22,"Get rid of the (hacky) solution to redefining Scene methods, since reload handles it better",64,1,0,0,6,59,"330,20,502,22,78,703"
cb3e115a6c7780de1a0f4e559bc71a1ba9d1ca24,Grant Sanderson,2024-12-10 01:31:34,Minor cleaning,64,1,0,0,6,59,"330,20,502,22,78,703"
40b5c7c1c126f33e346514fd6616b8b24cb05c10,Grant Sanderson,2024-12-10 01:26:33,Slightly clean up interactive_scene_embed,64,1,0,0,6,59,"330,20,502,22,78,703"
636fb3a45b4726ca308043a665b60f4e9efc5e2d,Grant Sanderson,2024-12-10 01:23:03,Factor interactive embed logic out of Scene class,64,1,0,0,6,59,"330,20,502,22,78,703"
ea3f77e3f1a14456fa2e182411449bdf75e035ab,Grant Sanderson,2024-12-09 23:29:22,Add blank line,64,1,0,0,6,59,"330,20,502,22,78,703"
0692afdfec648ee6889bdadc6beeb4cff10d7fa3,Grant Sanderson,2024-12-09 23:29:16,Bug fix,64,1,0,0,6,59,"330,20,502,22,78,703"
14c6fdc1d9941044d7bc100f1b4fd1d581e2011a,Grant Sanderson,2024-12-09 21:19:48,Slight refactor of get_indent,64,1,0,0,6,59,"330,20,502,22,78,703"
89bf0b129732726e7eea433f96b0b1a272e2c794,Grant Sanderson,2024-12-07 20:51:33,Track all mobjects as a set in Scene. begin_animations,64,1,0,0,6,59,"330,20,502,22,78,703"
5fa99b772398aaad527ba11c4418f9ffcada4871,Grant Sanderson,2024-12-07 20:44:56,"Set default log level to ""WARNING""",64,1,0,0,6,59,"330,20,502,22,78,703"
df1e067480df9c4302ed0602fe36948ee563a785,Benjamín Ubilla,2024-12-07 20:43:35,Fix 3D overlap when animating by checking Mobject family members recursively instead of `self.mobjects` (#2254),63,1,0,0,5,59,"330,20,502,22,78,703"
0ef12ad7e469b085e59e476bdd1deced07db4fb5,Grant Sanderson,2024-12-07 01:05:39,Move FRAME_HEIGHT back to constants,64,1,0,0,6,59,"330,20,502,22,78,703"
09c27a654f6382be70bc152de7d9435d3c6db989,Grant Sanderson,2024-12-07 00:56:54,Minor cleaning of imports,64,1,0,0,6,59,"330,20,502,22,78,703"
90dfb02cc668e3ad3df6ca7f975e83be75007520,Grant Sanderson,2024-12-07 00:54:16,Move get_scene_module logic to extract_scene.py,64,1,0,0,6,59,"330,20,502,22,78,703"
e270f5c3d3cb545f1721533241ae1859d418f663,Grant Sanderson,2024-12-07 00:29:18,Change from get_module_with_inserted_embed_line to insert_embed_line_to_module,64,1,0,0,6,59,"330,20,502,22,78,703"
fadd045fc1e3d41f0be8b8501f8f5fb44ec8ae3c,Grant Sanderson,2024-12-06 23:35:57,Don't write new file when inserting embed line,64,1,0,0,6,59,"330,20,502,22,78,703"
dd0aa14442517fab904deaedde5ec14ba4a7551a,Grant Sanderson,2024-12-06 22:09:02,"Clean up get_module_with_inserted_embed_line, only accept line number as embed arg",63,1,0,0,5,59,"330,20,502,22,78,703"
d357e21c1d7fb4c8fb97f8bc885790dc0da254f5,Grant Sanderson,2024-12-06 21:37:07,Change how ModuleLoader receives is_reload information,63,1,0,0,5,59,"330,20,502,22,78,703"
dd251ab8c2fa3e387064402261b00dbc588216bc,Grant Sanderson,2024-12-06 21:24:14,"Remove ""preview"" as a scene parameter, just look for whether window is None",63,1,0,0,5,59,"330,20,502,22,78,703"
2e49c60148b492c1d7a0f5ef1562bef03de25e28,Grant Sanderson,2024-12-06 21:19:21,Use config.get_resolution for constants,63,1,0,0,5,59,"330,20,502,22,78,703"
33c7f6d063e20eedad2cafbf9df6233b1c6f6370,Grant Sanderson,2024-12-06 21:16:26,Factor out resolution from get_camera_config,63,1,0,0,5,59,"330,20,502,22,78,703"
53b6c34ebec5a9c5478548ceb72adb5eec96b1da,Grant Sanderson,2024-12-06 21:09:12,"Create Window outside of Scene, and pass it in as an argument",63,1,0,0,5,59,"330,20,502,22,78,703"
49c2b5cfe03aacf1bcee7797710e94f825cf8662,Grant Sanderson,2024-12-06 20:21:08,Check if animation.mobject is in the full family of scene mobjects before adding,63,1,0,0,5,59,"330,20,502,22,78,703"
6196daa5ec49546a8d973b6866991586f98d0d56,Splines,2024-12-06 05:48:10,Reload user-defined modules during `reload()` (#2257),63,1,0,0,5,59,"330,20,502,22,78,703"
94f6f0aa963a9aa61126789101f4e15321fd3097,Grant Sanderson,2024-12-06 04:21:14,"Cleaner local caching of Tex/Text data, and partially cleaned up configuration (#2259)",63,1,0,0,5,59,"330,20,502,22,78,703"
5a70d67b98e9b2d353d0721d95b034ffaab29a89,Iñaki Rabanillo,2024-12-06 04:19:16,Update coordinate_systems.py (#2258),63,1,0,4,5,55,"330,20,502,22,78,703"
66862db9b26b1cfe9543267293d231aae10ace23,henri-gasc,2024-12-06 04:13:14,Drop pyrr (#2256),63,1,0,4,5,55,"330,20,502,22,78,703"
5d3f7308240042c28ac9e7ee9f99cd1a02d792ec,Varniex,2024-12-06 04:12:46,Cleaning up some imports + Minor Bug fixed in VectorField (#2253),63,1,0,4,5,55,"330,20,502,22,78,703"
